date,time,bri,ct,cct_in,cct,lcone_lux,mcone_lux,mlux,plux,rhlux,scone_lux
27/09/2022,09:23:29,110,392,2550,2518.72,45.34629286853028,33.70441424641849,16.880286234366196,44.3201818094003,21.059032427085402,9.217500125468964
27/09/2022,09:23:46,110,385,2600,2560.38,46.612956484616014,34.92636440842203,17.788890019219526,45.60480657202201,21.97387151149746,9.540978913878979
27/09/2022,09:24:03,110,377,2650,2597.25,48.16039597004894,36.23323677838346,17.83247459323432,47.24532089043269,22.21289047541438,9.768247722791543
27/09/2022,09:24:20,110,370,2700,2627.17,50.06879722345429,37.810945873729914,18.23836203526901,49.228053889925,22.91670061440784,10.334339246027932
27/09/2022,09:24:37,110,364,2750,2665.12,51.24908632639539,38.91992144123226,18.714588588991223,50.48207225388691,23.572505730435957,10.970224299942382
27/09/2022,09:24:58,110,357,2800,2732.36,52.654866443270514,40.39803442203305,19.921362755299914,51.9574711517466,24.85642609381318,12.648338235182015
27/09/2022,09:25:15,110,351,2850,2813.88,53.650441666727765,41.67484817327277,20.702729079705186,53.10723353939261,25.816459156714508,13.350681175210918
27/09/2022,09:25:32,110,345,2900,2872.77,54.64166981749879,42.785302051205534,21.981971338559482,54.11134533610573,27.005425559678383,15.26443855188309
27/09/2022,09:25:49,110,339,2950,2935.31,55.42962124210991,43.79552716510333,22.753644635095547,54.996195130396345,27.87243526095964,15.915481653971085
27/09/2022,09:26:06,110,333,3000,3060.15,56.403279226293265,45.36793567516579,24.652784879599444,56.08840288806674,29.74357874159294,17.473365883003428
27/09/2022,09:26:28,110,328,3050,3062.26,57.525511370001325,46.294458002562166,24.655602694001562,57.285043699041715,30.041663374183646,17.05942555567646
27/09/2022,09:26:45,110,323,3100,3105.55,58.500370548578715,47.38884627264368,25.563067517314465,58.313651016323895,31.049371630922465,17.40902580181908
27/09/2022,09:27:02,110,317,3150,3122.31,59.43024075778511,48.26358402833581,26.28621827694213,59.24486456819943,31.8134555731466,17.847252773008073
27/09/2022,09:27:19,110,312,3200,3186.32,58.713323406714544,48.10259800317574,27.64177445423249,58.46038152489307,32.779228608403706,19.280972721148757
27/09/2022,09:27:36,110,308,3250,3227.05,59.355036749223956,48.85288710934408,28.951324888643178,59.05131534975695,33.91316111041049,20.88532800376081
27/09/2022,09:27:58,110,303,3300,3338.27,58.838805073366736,48.920421798572754,30.982515534580727,58.43398085841421,35.30615764013986,24.75670072548776
27/09/2022,09:28:15,110,299,3350,3353.8,59.4895584812309,49.532759079913475,31.62484247988237,59.068873670233494,35.92657049341649,25.51282795184659
27/09/2022,09:28:32,110,294,3400,3362.73,59.80254797221571,49.84226466651154,32.009519988085124,59.366878077435764,36.293474398513865,25.909644464102104
27/09/2022,09:28:49,110,290,3450,3364.61,60.12897019860958,50.12251081012235,32.19860752714052,59.69303670330353,36.50346124284119,26.089762873255246
27/09/2022,09:29:06,110,286,3500,3361.95,60.672974390947154,50.559792060041175,32.506074229368636,60.222213347186575,36.83726065866491,26.364703176054554
27/09/2022,09:29:33,110,282,3550,3361.98,60.952457412714594,50.79114769569599,32.67133757102897,60.49660007212713,37.01579099934793,26.521661282158835
27/09/2022,09:29:50,110,278,3600,3362.2,61.67946788737354,51.39794585840981,33.07096394222307,61.21713570542962,37.46365321879466,26.848871196935093
27/09/2022,09:30:08,110,274,3650,3363.4,62.77431115935025,52.31702657286539,33.66066466149581,62.30658987161756,38.13441957605945,27.331066381912564
27/09/2022,09:30:25,110,270,3700,3365.73,63.44649463302343,52.887759003780225,34.04455444695159,62.97521282084308,38.56439071623711,27.683533468270106
